"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"10/1995",296,6590,3219,220,352,1680,1883,17740,4654,17906,2462,16702
"11/1995",347,6008,3490,243,395,2068,1951,16549,4630,16779,2570,16739
"12/1995",339,6092,3504,235,438,2143,2114,16621,4859,15769,2486,16231
"01/1996",407,6718,4255,427,502,2707,3017,21721,5600,17839,3533,20731
"02/1996",328,6363,4126,401,419,2633,2961,19795,5610,16557,3294,19060
"03/1996",326,6156,4068,427,621,2471,2669,18269,5393,16508,2926,18591
"04/1996",333,5369,3534,333,550,1991,2017,16031,4681,15819,2201,16609
"05/1996",299,6003,3640,301,392,1783,1743,15674,4524,17237,2130,16922
"06/1996",304,5934,3607,294,430,1568,1702,15406,3991,17896,1822,17664
"07/1996",292,6267,3482,332,378,1502,1748,16920,4174,18514,2194,18284
"08/1996",291,5566,2996,291,316,1350,1705,15675,3562,16385,2058,16020
"09/1996",268,6029,3020,260,358,1443,1699,15736,3837,16618,1854,15672
"10/1996",313,5487,2804,257,353,1362,1642,15333,3643,15176,1980,13899
"11/1996",332,5351,3151,240,372,1710,1955,15795,3705,14627,2341,14157
"12/1996",330,5088,3237,301,454,1895,2040,15935,3963,13983,2558,14083
"01/1997",427,6007,4376,442,485,2438,3221,21228,4941,16426,3476,18077
"02/1997",401,5964,4260,425,451,2404,3060,19813,5004,15212,3169,17352
"03/1997",427,5539,4332,361,503,2382,2888,19371,4718,15096,3065,17249
"04/1997",403,4778,3535,345,461,1909,2330,17148,3968,13666,2531,14526
"05/1997",307,4891,3147,261,382,1635,1979,17667,3721,14958,2323,14615
"06/1997",303,5127,3343,264,404,1632,1901,18163,3669,17062,2302,16209
"07/1997",303,5321,3036,249,321,1600,1854,18639,3584,16764,2334,16225
